,580
317,2786
317,2787
317,2788
317,2789
317,2790
317,2791
317,2792
317,2793
317,2794
316,2795
316,2796
317,2797
317,2798
316,2799
317,2800
317,2801
317,2802
317,2803
317,2804
317,2804
317,2805
317,2806
317,2807
317,2808
317,2809
317,2810
316,2811
316,2812
316,2813
316,2814
316,2816
316,2817
317,2818
317,2819
317,2820
317,2821
317,2822
317,2823
317,2824
317,2825
317,2826
317,2827
317,2828
317,2829
316,2830
317,2831
316,2832
316,2833
316,2834
316,2835
317,2836
317,2837
317,2838
317,2839
317,2840
317,2841
317,2842
317,2843
317,2844
317,2845
317,2846
317,2847
317,2848
317,2849
317,2850
316,2851
316,2852
316,2853
316,2854
316,2855
316,2855
316,2856
317,2857
317,2859
317,2860
317,2861
317,2862
317,2863
317,2864
317,2865
317,2866
317,2867
317,2868
317,2869
317,2870
317,2871
317,2872
317,2873
317,2874
317,2875
317,2876
317,2877
316,2878
317,2879
317,2880
317,2881
317,2882
317,2883
317,2884
317,2885
317,2886
317,2887
317,2888
317,2889
316,2890
316,2891
316,2892
316,2893
316,2894
316,2895
316,2896
316,2897
316,2898
316,2899
316,2900
316,2902
316,2903
316,2904
316,2905
316,2906
316,2907
316,2907
316,2908
316,2909
316,2910
316,2911
316,2912
315,2913
315,2914
315,2915
315,2916
316,2917
316,2918
315,2919
316,2920
315,2921
315,2922
316,2923
316,2924
316,2925
316,2926
316,2927
316,2928
315,2929
315,2930
315,2931
315,2932
315,2933
315,2934
315,2935
315,2936
316,2937
315,2938
316,2939
316,2940
316,2941
316,2942
316,2944
316,2945
316,2946
316,2947
316,2948
316,2949
316,2950
316,2951
316,2952
316,2953
316,2954
316,2955
316,2956
316,2957
316,2958
316,2959
316,2959
316,2960
316,2961
316,2962
317,2963
317,2964
317,2965
316,2966
316,2967
316,2968
316,2969
316,2970
316,2971
316,2972
316,2973
316,2974
316,2975
316,2976
316,2977
316,2978
316,2979
317,2980
317,2981
317,2982
317,2983
317,2984
317,2985
317,2987
317,2988
317,2989
317,2990
317,2991
316,2992
317,2993
317,2994
317,2995
316,2996
316,2997
316,2998
317,2999
317,3000
317,3001
317,3002
317,3003
317,3004
317,3005
317,3006
317,3007
317,3008
317,3009
317,3010
316,3010
316,3011
317,3012
316,3013
316,3014
316,3015
316,3016
316,3017
316,3018
317,3019
317,3020
317,3021
317,3022
317,3023
317,3024
317,3025
317,3026
317,3027
317,3028
317,3030
317,3031
317,3032
317,3033
317,3034
317,3035
317,3036
317,3037
317,3038
317,3039
317,3040
318,3041
318,3042
318,3043
318,3044
318,3045
318,3046
318,3047
318,3048
318,3049
317,3050
317,3051
318,3052
317,3053
317,3054
317,3055
318,3056
317,3057
318,3058
318,3059
318,3060
318,3061
318,3062
318,3062
318,3063
318,3064
318,3065
318,3066
318,3067
318,3068
318,3069
318,3070
317,3072
318,3073
318,3074
318,3075
318,3076
318,3077
318,3078
318,3079
318,3080
318,3081
318,3082
318,3083
319,3084
318,3085
318,3086
318,3087
318,3088
318,3089
318,3090
318,3091
318,3092
318,3093
318,3094
317,3095
317,3096
317,3097
317,3098
317,3099
318,3100
317,3101
317,3102
317,3103
318,3104
317,3105
317,3106
317,3107
317,3108
317,3109
317,3110
317,3111
317,3112
317,3113
317,3113
316,3115
316,3116
317,3117
317,3118
317,3119
317,3120
317,3121
317,3122
317,3123
317,3124
317,3125
317,3126
317,3127
317,3128
317,3129
316,3130
316,3131
316,3132
316,3133
316,3134
316,3135
316,3136
316,3137
316,3138
316,3139
316,3140
316,3141
316,3142
316,3143
317,3144
317,3145
317,3146
316,3147
316,3148
316,3149
316,3150
316,3151
316,3152
316,3153
316,3154
316,3155
316,3156
316,3158
316,3159
316,3160
316,3161
316,3162
316,3163
316,3164
316,3165
316,3165
316,3166
316,3167
316,3168
316,3169
316,3170
316,3171
315,3172
315,3173
315,3174
315,3175
316,3176
315,3177
315,3178
315,3179
315,3180
315,3181
315,3182
315,3183
315,3184
315,3185
316,3186
315,3187
315,3188
315,3189
315,3190
315,3191
315,3192
315,3193
315,3194
315,3195
315,3196
314,3197
315,3198
315,3200
314,3201
315,3202
315,3203
315,3204
315,3205
315,3206
315,3207
315,3208
314,3209
314,3210
314,3211
314,3212
314,3213
314,3214
314,3215
